ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,Number_Households,Gini_index,LL_95CI,UL_95CI,se,rse,CA_decile,CA_RR,Median_HH_income,Median_HH_decile,version
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06025,Imperial,Imperial,06025,Southern California,14,49126,0.456,0.4345531915,0.4774468085,0.0109422492,2.3996160614,,0.9743589744,35933,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06027,Inyo,Inyo,06027,Central/Southeast Sierra,03,8049,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06029,Kern,Kern,06029,San Joaquin Valley,10,254610,0.452,0.4448510638,0.4591489362,0.0036474164,0.8069505339,,0.9658119658,44620,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06031,Kings,Kings,06031,San Joaquin Valley,10,41233,0.408,0.3925106383,0.4234893617,0.0079027356,1.9369449908,,0.8717948718,45796,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06033,Lake,Lake,06033,North Coast,05,26548,0.408,0.3853617021,0.4306382979,0.011550152,2.8309196019,,0.8717948718,40710,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06035,Lassen,Lassen,06035,Northeast Sierra,06,10058,0.393,0.363212766,0.422787234,0.0151975684,3.8670657479,,0.8397435897,46581,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06037,Los Angeles,Los Angeles,06037,Southern California,14,3241204,0.491,0.4874255319,0.4945744681,0.0018237082,0.3714273333,,1.0491452991,52628,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06039,Madera,Madera,06039,San Joaquin Valley,10,43317,0.45,0.4297446809,0.4702553191,0.0103343465,2.2965214455,,0.9615384615,44534,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06041,Marin,Marin,06041,Bay Area,01,103210,0.503,0.4887021277,0.5172978723,0.0072948328,1.4502649755,,1.0747863248,83732,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06043,Mariposa,Mariposa,06043,Central/Southeast Sierra,03,7693,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06045,Mendocino,Mendocino,06045,North Coast,05,34945,0.45,0.4285531915,0.4714468085,0.0109422492,2.4316109422,,0.9615384615,42663,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06047,Merced,Merced,06047,San Joaquin Valley,10,75642,0.45,0.4357021277,0.4642978723,0.0072948328,1.6210739615,,0.9615384615,44141,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06049,Modoc,Modoc,06049,Northeast Sierra,06,4064,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06051,Mono,Mono,06051,Central/Southeast Sierra,03,5768,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06053,Monterey,Monterey,06053,Monterey Bay,04,125946,0.443,0.4287021277,0.4572978723,0.0072948328,1.6466891257,,0.9465811966,58197,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06055,Napa,Napa,06055,Bay Area,01,48876,0.458,0.431787234,0.484212766,0.0133738602,2.9200568084,,0.9786324786,66663,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06057,Nevada,Nevada,06057,Northeast Sierra,06,41527,0.418,0.3989361702,0.4370638298,0.0097264438,2.3269004232,,0.8931623932,56344,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06059,Orange,Orange,06059,Southern California,14,992781,0.456,0.4512340426,0.4607659574,0.0024316109,0.5332480137,,0.9743589744,71601,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06061,Placer,Placer,06061,Sacramento Area,08,132627,0.421,0.4090851064,0.4329148936,0.0060790274,1.4439494906,,0.8995726496,68463,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06063,Plumas,Plumas,06063,Northeast Sierra,06,8977,0.417,0.374106383,0.459893617,0.0218844985,5.2480811703,,0.891025641,44281,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06065,Riverside,Riverside,06065,Southern California,14,686260,0.439,0.4330425532,0.4449574468,0.0030395137,0.6923721362,,0.938034188,55881,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06067,Sacramento,Sacramento,06067,Sacramento Area,08,513945,0.424,0.4180425532,0.4299574468,0.0030395137,0.7168664334,,0.905982906,55822,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06069,San Benito,San Benito,06069,Monterey Bay,04,16805,0.402,0.3698297872,0.4341702128,0.0164133739,4.0829288209,,0.858974359,69740,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06071,San Bernardino,San Bernardino,06071,Southern California,14,611618,0.416,0.4112340426,0.4207659574,0.0024316109,0.5845218611,,0.8888888889,54093,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06073,San Diego,San Diego,06073,San Diego,09,1086865,0.45,0.4452340426,0.4547659574,0.0024316109,0.5403579872,,0.9615384615,60970,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06075,San Francisco,San Francisco,06075,Bay Area,01,345811,0.508,0.5008510638,0.5151489362,0.0036474164,0.717995357,,1.0854700855,65519,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06077,San Joaquin,San Joaquin,06077,San Joaquin Valley,10,215007,0.435,0.4242765957,0.4457234043,0.0054711246,1.2577297977,,0.9294871795,52872,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06079,San Luis Obispo,San Luis Obispo,06079,San Luis Obispo,11,102016,0.459,0.4470851064,0.4709148936,0.0060790274,1.3244068313,,0.9807692308,53589,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06081,San Mateo,San Mateo,06081,Bay Area,01,257837,0.464,0.4556595745,0.4723404255,0.0042553191,0.9170946442,,0.9914529915,81573,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06083,Santa Barbara,Santa Barbara,06083,Santa Barbara,12,142104,0.478,0.4660851064,0.4899148936,0.0060790274,1.2717630451,,1.0213675214,57059,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06085,Santa Clara,Santa Clara,06085,Bay Area,01,604204,0.452,0.4460425532,0.4579574468,0.0030395137,0.6724587783,,0.9658119658,83074,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06087,Santa Cruz,Santa Cruz,06087,Monterey Bay,04,94355,0.464,0.4485106383,0.4794893617,0.0079027356,1.7031757677,,0.9914529915,63333,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06089,Shasta,Shasta,06089,Shasta,13,70346,0.451,0.4367021277,0.4652978723,0.0072948328,1.6174795625,,0.9636752137,43988,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06091,Sierra,Sierra,06091,Northeast Sierra,06,1482,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06093,Siskiyou,Siskiyou,06093,Northeast Sierra,06,19505,0.445,0.4259361702,0.4640638298,0.0097264438,2.1857177009,,0.9508547009,35567,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06095,Solano,Solano,06095,Bay Area,01,141758,0.399,0.3894680851,0.4085319149,0.0048632219,1.2188526026,,0.8525641026,65533,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06097,Sonoma,Sonoma,06097,Bay Area,01,185825,0.439,0.4282765957,0.4497234043,0.0054711246,1.2462698451,,0.938034188,62311,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06099,Stanislaus,Stanislaus,06099,San Joaquin Valley,10,165180,0.435,0.421893617,0.448106383,0.0066869301,1.5372253083,,0.9294871795,50375,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06101,Sutter,Sutter,06101,Sacramento Area,08,31437,0.423,0.4027446809,0.4432553191,0.0103343465,2.4431079207,,0.9038461538,52486,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06103,Tehama,Tehama,06103,Northern Sacramento Valley,07,23767,0.447,0.4148297872,0.4791702128,0.0164133739,3.6718957182,,0.9551282051,35382,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06105,Trinity,Trinity,06105,North Coast,05,6083,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06107,Tulare,Tulare,06107,San Joaquin Valley,10,130352,0.449,0.435893617,0.462106383,0.0066869301,1.4892940069,,0.9594017094,41837,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06109,Tuolumne,Tuolumne,06109,Central/Southeast Sierra,03,22156,0.462,0.4071914894,0.5168085106,0.0279635258,6.0527112199,,0.9871794872,43661,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06111,Ventura,Ventura,06111,Southern California,14,266920,0.429,0.4206595745,0.4373404255,0.0042553191,0.9919158855,,0.9166666667,72984,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,PL,00996,Allendale CDP,Solano,06095,Bay Area,01,528,,,,,,,,,,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06113,Yolo,Yolo,06113,Sacramento Area,08,70872,0.458,0.444893617,0.471106383,0.0066869301,1.4600284042,,0.9786324786,54307,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9,Total,CO,06115,Yuba,Yuba,06115,Sacramento Area,08,24307,0.415,0.3971276596,0.4328723404,0.009118541,2.1972388032,,0.8867521368,41620,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,545138,0.456,0.4524255319,0.4595744681,0.0018237082,0.3999360102,,0.9722814499,69384,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,497,0.449,0.3596382979,0.5383617021,0.0455927052,10.1542773201,,0.9573560768,63478,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,14569,0.399,0.3775531915,0.4204468085,0.0109422492,2.7424183559,,0.8507462687,54758,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06007,Butte,Butte,06007,Butte,02,87618,0.449,0.4394680851,0.4585319149,0.0048632219,1.0831229141,,0.9573560768,43170,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,18886,0.412,0.3905531915,0.4334468085,0.0109422492,2.6558857379,,0.8784648188,54971,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,7056,0.429,0.3968297872,0.4611702128,0.0164133739,3.8259612728,,0.9147121535,48016,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,375364,0.453,0.4470425532,0.4589574468,0.0030395137,0.6709743218,,0.9658848614,78385,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,9907,0.448,0.4110638298,0.4849361702,0.0188449848,4.206469822,,0.9552238806,36118,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,70223,0.421,0.4102765957,0.4317234043,0.0054711246,1.2995545416,,0.8976545842,70000,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,289391,0.459,0.4530425532,0.4649574468,0.0030395137,0.6622034156,,0.9786780384,46430,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06021,Glenn,Glenn,06021,Northern Sacramento Valley,07,9800,0.436,0.4121702128,0.4598297872,0.0121580547,2.7885446585,,0.9296375267,43074,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06023,Humboldt,Humboldt,06023,North Coast,05,56031,0.473,0.4491702128,0.4968297872,0.0121580547,2.5704132582,,1.0085287846,40089,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06025,Imperial,Imperial,06025,Southern California,14,49126,0.469,0.4523191489,0.4856808511,0.0085106383,1.8146350315,,1,38685,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06027,Inyo,Inyo,06027,Central/Southeast Sierra,03,8049,0.427,0.4055531915,0.4484468085,0.0109422492,2.5625876441,,0.9104477612,44808,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06029,Kern,Kern,06029,San Joaquin Valley,10,254610,0.452,0.4460425532,0.4579574468,0.0030395137,0.6724587783,,0.9637526652,47089,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06031,Kings,Kings,06031,San Joaquin Valley,10,41233,0.413,0.4010851064,0.4249148936,0.0060790274,1.4719194566,,0.8805970149,48684,7,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06033,Lake,Lake,06033,North Coast,05,26548,0.442,0.4229361702,0.4610638298,0.0097264438,2.2005528889,,0.9424307036,39491,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06035,Lassen,Lassen,06035,Northeast Sierra,06,10058,0.422,0.3969787234,0.4470212766,0.0127659574,3.0251083997,,0.8997867804,50317,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06037,Los Angeles,Los Angeles,06037,Southern California,14,3241204,0.489,0.4866170213,0.4913829787,0.0012158055,0.2486309757,,1.0426439232,55476,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06039,Madera,Madera,06039,San Joaquin Valley,10,43317,0.441,0.427893617,0.454106383,0.0066869301,1.5163106783,,0.9402985075,46039,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06041,Marin,Marin,06041,Bay Area,01,103210,0.498,0.4872765957,0.5087234043,0.0054711246,1.0986194016,,1.0618336887,89268,1,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06043,Mariposa,Mariposa,06043,Central/Southeast Sierra,03,7693,0.428,0.3934468085,0.4625531915,0.0176291793,4.1189671335,,0.9125799574,49098,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06045,Mendocino,Mendocino,06045,North Coast,05,34945,0.444,0.4297021277,0.4582978723,0.0072948328,1.6429803664,,0.9466950959,43759,9,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06047,Merced,Merced,06047,San Joaquin Valley,10,75642,0.46,0.446893617,0.473106383,0.0066869301,1.4536804546,,0.9808102345,43844,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06049,Modoc,Modoc,06049,Northeast Sierra,06,4064,0.43,0.403787234,0.456212766,0.0133738602,3.1102000424,,0.9168443497,34588,10,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06051,Mono,Mono,06051,Central/Southeast Sierra,03,5768,0.401,0.3461914894,0.4558085106,0.0279635258,6.9734478394,,0.855010661,55087,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06053,Monterey,Monterey,06053,Monterey Bay,04,125946,0.45,0.4380851064,0.4619148936,0.0060790274,1.3508949679,,0.9594882729,59271,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06055,Napa,Napa,06055,Bay Area,01,48876,0.461,0.4490851064,0.4729148936,0.0060790274,1.3186610316,,0.9829424307,67389,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06057,Nevada,Nevada,06057,Northeast Sierra,06,41527,0.426,0.412893617,0.439106383,0.0066869301,1.5697018993,,0.908315565,57121,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06059,Orange,Orange,06059,Southern California,14,992781,0.455,0.4514255319,0.4585744681,0.0018237082,0.4008149905,,0.9701492537,74344,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06061,Placer,Placer,06061,Sacramento Area,08,132627,0.422,0.4148510638,0.4291489362,0.0036474164,0.8643166856,,0.8997867804,74447,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06063,Plumas,Plumas,06063,Northeast Sierra,06,8977,0.446,0.4066808511,0.4853191489,0.0200607903,4.4979350389,,0.9509594883,44000,8,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06065,Riverside,Riverside,06065,Southern California,14,686260,0.439,0.4342340426,0.4437659574,0.0024316109,0.5538977089,,0.9360341151,57768,4,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06067,Sacramento,Sacramento,06067,Sacramento Area,08,513945,0.431,0.4262340426,0.4357659574,0.0024316109,0.5641788729,,0.9189765458,56439,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06069,San Benito,San Benito,06069,Monterey Bay,04,16805,0.414,0.3937446809,0.4342553191,0.0103343465,2.4962189625,,0.8827292111,65771,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06071,San Bernardino,San Bernardino,06071,Southern California,14,611618,0.422,0.4172340426,0.4267659574,0.0024316109,0.5762111238,,0.8997867804,55845,5,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06073,San Diego,San Diego,06073,San Diego,09,1086865,0.452,0.4484255319,0.4555744681,0.0018237082,0.403475267,,0.9637526652,63069,3,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06075,San Francisco,San Francisco,06075,Bay Area,01,345811,0.507,0.5022340426,0.5117659574,0.0024316109,0.4796076809,,1.0810234542,71304,2,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06077,San Joaquin,San Joaquin,06077,San Joaquin Valley,10,215007,0.437,0.4286595745,0.4453404255,0.0042553191,0.9737572423,,0.9317697228,54341,6,03/26/2014 12:00:00 AM
556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9,Total,CO,06079,San Luis Obispo,San Luis Obispo,06079,San Luis Obispo,11,102016,0.456,0.4464680851,0.4655319149,0.0048632219,1.0664960273,,0.9722814499,57365,4,03/26/2014 12:00:00 AM
